date,spend_all
2021-6-19,.0819
2021-6-20,.0798
2021-6-21,.0798
2021-6-22,.0805
2021-6-23,.0762
2021-6-24,.0768
2021-6-25,.071
2021-6-26,.0644
2021-6-27,.0632
2021-6-28,.0595
2021-6-29,.0547
2021-6-30,.0591
2021-7-1,.0595
2021-7-2,.06
2021-7-3,.0451
2021-7-4,.0995
2021-7-5,.0629
2021-7-6,.0782
2021-7-7,.0774
2021-7-8,.0709
2021-7-9,.0686
2021-7-10,.0584
2021-7-11,.052
2021-7-12,.0662
2021-7-13,.0544
2021-7-14,.0488
2021-7-15,.0543
2021-7-16,.0561
2021-7-17,.0596
2021-7-18,.0639
2021-7-19,.066
2021-7-20,.0691
2021-7-21,.0699
2021-7-22,.0692
2021-7-23,.0723
2021-7-24,.0772
2021-7-25,.0779
2021-7-26,.0728
2021-7-27,.065
2021-7-28,.06
2021-7-29,.0614
2021-7-30,.0607
2021-7-31,.0584
2021-8-1,.0526
2021-8-2,.0614
2021-8-3,.072
2021-8-4,.0803
2021-8-5,.0781
2021-8-6,.0776
2021-8-7,.0782
2021-8-8,.0868
2021-8-9,.0831
2021-8-10,.0784
2021-8-11,.0731
2021-8-12,.075
2021-8-13,.0762
2021-8-14,.0785
2021-8-15,.074
2021-8-16,.0752
2021-8-17,.073
2021-8-18,.0711
2021-8-19,.0713
2021-8-20,.0702
2021-8-21,.0721
2021-8-22,.076
2021-8-23,.0718
2021-8-24,.0692
2021-8-25,.069
2021-8-26,.0719
2021-8-27,.0772
2021-8-28,.0764
2021-8-29,.0689
2021-8-30,.0591
2021-8-31,.0649
2021-9-1,.0797
2021-9-2,.113
2021-9-3,.0878
2021-9-4,.0845
2021-9-5,.0909
2021-9-6,.1
2021-9-7,.0912
2021-9-8,.08
2021-9-9,.0656
2021-9-10,.0631
2021-9-11,.0628
2021-9-12,.0619
2021-9-13,.0665
2021-9-14,.0596
2021-9-15,.0622
2021-9-16,.0627
2021-9-17,.0668
2021-9-18,.074
2021-9-19,.0806
2021-9-20,.0836
2021-9-21,.0877
2021-9-22,.0815
2021-9-23,.0883
2021-9-24,.0905
2021-9-25,.0895
2021-9-26,.0878
2021-9-27,.0821
2021-9-28,.0761
2021-9-29,.0727
2021-9-30,.0741
2021-10-1,.0785
2021-10-2,.0828
2021-10-3,.0859
2021-10-4,.1
2021-10-5,.113
2021-10-6,.12
2021-10-7,.112
2021-10-8,.111
2021-10-9,.113
2021-10-10,.109
2021-10-11,.0969
2021-10-12,.0994
2021-10-13,.0969
2021-10-14,.107
2021-10-15,.0962
2021-10-16,.0931
2021-10-17,.0966
2021-10-18,.0938
2021-10-19,.0997
2021-10-20,.103
2021-10-21,.107
2021-10-22,.112
2021-10-23,.116
2021-10-24,.118
2021-10-25,.111
2021-10-26,.105
2021-10-27,.102
2021-10-28,.107
2021-10-29,.112
2021-10-30,.108
2021-10-31,.102
2021-11-1,.112
2021-11-2,.121
2021-11-3,.122
2021-11-4,.117
2021-11-5,.112
2021-11-6,.12
2021-11-7,.132
2021-11-8,.125
2021-11-9,.115
2021-11-10,.116
2021-11-11,.125
2021-11-12,.12
2021-11-13,.12
2021-11-14,.118
2021-11-15,.12
2021-11-16,.122
2021-11-17,.119
2021-11-18,.127
2021-11-19,.122
2021-11-20,.124
2021-11-21,.125
2021-11-22,.112
2021-11-23,.103
2021-11-24,.0517
2021-11-25,.0286
2021-11-26,.00188
2021-11-27,-.01
2021-11-28,.064
2021-11-29,-.0471
2021-11-30,.0377
2021-12-1,.0421
2021-12-2,.0503
2021-12-3,.0744
2021-12-4,.0884
2021-12-5,.0969
2021-12-6,.0832
2021-12-7,.0675
2021-12-8,.0496
2021-12-9,.0458
2021-12-10,.0676
2021-12-11,.0734
2021-12-12,.0747
2021-12-13,.0679
2021-12-14,.0676
2021-12-15,.0832
2021-12-16,.0858
2021-12-17,.0847
2021-12-18,.084
2021-12-19,.0828
2021-12-20,.1
2021-12-21,.122
2021-12-22,.143
2021-12-23,.111
2021-12-24,.101
2021-12-25,.145
2021-12-26,.117
2021-12-27,.11
2021-12-28,.127
2021-12-29,.135
2021-12-30,.154
2021-12-31,.134
2022-1-1,.0701
2022-1-2,.0796
2022-1-3,.104
2022-1-4,.0828
2022-1-5,.0553
2022-1-6,.105
2022-1-7,.102
2022-1-8,.102
2022-1-9,.121
2022-1-10,.128
2022-1-11,.126
